ensembl	HUGO	ID
ENSG00000235425	RPS7P13	25682
ENSG00000232069	RPS29P28	25687
ENSG00000236243	RPL6P29	25701
ENSG00000230592	RPSAP8	25712
ENSG00000183911	RPL21P132	25742
ENSG00000241343	RPL36A	25745
ENSG00000257529	RPL36A-HNRNPH2	25746
ENSG00000223733	RPL18AP14	25858
ENSG00000225381	RPS5P7	25925
ENSG00000236189	RPL18AP15	25948
ENSG00000224664	RPL36AP53	25982
ENSG00000235656	RPL36P18	26001
ENSG00000234524	RPL12P43	26036
ENSG00000198918	RPL39	26077
ENSG00000232496	RPL3P12	26149
ENSG00000235735	RPL7AP72	26210
ENSG00000223995	RPL32P35	26215
ENSG00000226339	RPS26P56	26217
ENSG00000233260	RPSAP63	26294
ENSG00000236509	RPL21P133	26321
ENSG00000237432	RPS7P12	26322
ENSG00000231164	RPL7P56	26400
ENSG00000225758	RPS17P17	26446
ENSG00000176970	RPL7L1P11	26549
ENSG00000230508	RPL19P21	26595
ENSG00000237793	RPL18AP16	26674
ENSG00000147403	RPL10	26713
ENSG00000223508	RPL23AP53	26801
ENSG00000240486	RPL23AP54	26850
ENSG00000228744	RPS3AP30	26889
ENSG00000214268	RPS3AP33	26892
ENSG00000239315	RPL19P13	27038
ENSG00000242607	RPS3AP34	27105
ENSG00000244289	RPS3AP35	27108
ENSG00000244018	RPL35P6	27200
ENSG00000242709	RPL30P9	27219
ENSG00000239198	RPL5P22	27389
ENSG00000243844	RPL17P33	27422
ENSG00000241511	RPS15AP24	27436
ENSG00000215264	RPL10AP3	27506
ENSG00000244708	RPL23P10	27523
ENSG00000239218	RPS20P22	27580
ENSG00000243095	RPL3P10	27597
ENSG00000239281	RPS29P2	27627
ENSG00000240395	RPL5P23	27659
ENSG00000188873	RPL10AP2	27728
ENSG00000224594	RPL29P19	27752
ENSG00000240534	RPL34P17	27795
ENSG00000008988	RPS20	27859
ENSG00000241431	RPL37P6	27876
ENSG00000243050	RPL30P10	27889
ENSG00000239261	RPL31P41	27984
ENSG00000253964	RPL31P40	28036
ENSG00000236191	RPS15AP25	28039
ENSG00000241942	RPS20P20	28089
ENSG00000147604	RPL7	28112
ENSG00000244295	RPS20P21	28130
ENSG00000240047	RPS3AP32	28135
ENSG00000240540	RPL3P9	28186
ENSG00000188856	RPSAP47	28211
ENSG00000240427	RPS26P34	28241
ENSG00000240509	RPL34P18	28411
ENSG00000244217	RPS4XP10	28418
ENSG00000243504	RPS23P1	28484
ENSG00000156482	RPL30	28486
ENSG00000240870	RPL19P14	28504
ENSG00000242399	RPS20P23	28554
ENSG00000212994	RPS26P6	28556
ENSG00000240724	RPS12P15	28596
ENSG00000244052	RPL5P24	28610
ENSG00000243601	RPL12P24	28659
ENSG00000243287	RPS17P14	28682
ENSG00000230169	RPL30P16	28721
ENSG00000239917	RPS10P16	28752
ENSG00000242206	RPS26P35	28758
ENSG00000239872	RPL35AP19	28792
ENSG00000161016	RPL8	29223
ENSG00000236594	RPS27AP14	29267
ENSG00000229057	RPS3AP54	29363
ENSG00000230207	RPL4P5	29374
ENSG00000212829	RPS26P3	29388
ENSG00000223568	RPL3P11	29419
ENSG00000215236	RPL7P33	29438
ENSG00000137154	RPS6	29482
ENSG00000233278	RPS26P2	29623
ENSG00000235619	RPL36AP33	29770
ENSG00000236801	RPL24P8	30225
ENSG00000229814	RPL35AP21	30236
ENSG00000236862	RPS20P24	30255
ENSG00000234618	RPSAP9	30293
ENSG00000234637	RPS19P6	30343
ENSG00000228375	RPS20P25	30346
ENSG00000233309	RPS6P12	30372
ENSG00000217716	RPS10P3	30451
ENSG00000238172	RPS2P35	30720
ENSG00000231293	RPL36AP6	30829
ENSG00000236783	RPS15AP27	30832
ENSG00000231810	RPL36AP35	30839
ENSG00000230734	RPL10P3	30981
ENSG00000235133	RPL35AP22	30987
ENSG00000136942	RPL35	31110
ENSG00000197958	RPL12	31158
ENSG00000148303	RPL7A	31371
ENSG00000177600	RPLP2	31654
ENSG00000230980	RPL36AP39	31698
ENSG00000236264	RPL26P30	31730
ENSG00000237226	RPS3AP39	31777
ENSG00000223688	RPS24P14	31779
